Regression Centroids (Box B): 4
Excluded Recent Centroids (Box A): 2
Math Search Window (Bars): 3000
Visual EDT Window (Bars): 1496
Observation Window (Box B Bars): 1135
Total 171 Crossings (n): 107
Timeframe (Sec): 900
Raw Slope (b): -0.26760
Regression Angle: -29.73
Anchored Y-Int: 4417.30201

[MODEL A; CROSSINGS]
Sample (n): 107
R-Square: 0.8055
MSE: 1722.1930
Var Ratio: 1.95
Skewness: -0.21
Kurtosis: 2.21

[MODEL B; CLOSE PRICE]
Sample (n): 1135
R-Square: 0.7958
MSE: 1661.0493
Var Ratio: 2.30
Skewness: -0.22
Kurtosis: 2.33

timestamp	symbol	timeframe	close	CEN_0	CEN_1	CEN_2	CEN_3	CEN_4	CEN_5	CEN_6	CEN_7	CEN_8	CEN_9	CEN_10	CEN_11	Base_FL	EDT_1	EDT_2	EDT_3	EDT_4	EDT_5	EDT_6	EDT_7	EDT_8	horiz_high_map	horiz_low_map	ssa	ema_ssa	crossing
1778023802	XAUUSD	M15	4584.84	4518.59282	4596.05595	4755.40355	4792.76972																				4587.05702	4580.76033	0
1778024702	XAUUSD	M15	4593.92	4518.59282	4596.05595	4755.40355	4792.76972																				4593.31729	4587.03881	0
1778025602	XAUUSD	M15	4591.76	4518.59282	4596.05595	4755.40355	4792.76972																				4599.03760	4593.03820	0
1778026502	XAUUSD	M15	4602.23	4518.59282	4596.05595	4755.40355	4792.76972																				4604.34337	4598.69079	0
1778027402	XAUUSD	M15	4610.32	4518.59282	4596.05595	4755.40355	4792.76972																				4609.07319	4603.88199	0
1778028302	XAUUSD	M15	4618.87	4518.59282	4596.05595	4755.40355	4792.76972																				4613.22118	4608.55158	0
1778029202	XAUUSD	M15	4611.55	4518.59282	4596.05595	4755.40355	4792.76972																				4616.84397	4612.69778	0
1778030102	XAUUSD	M15	4625.00	4518.59282	4596.05595	4755.40355	4792.76972																				4620.43724	4616.56751	0
1778031002	XAUUSD	M15	4624.12	4518.59282	4596.05595	4755.40355	4792.76972																				4623.84047	4620.20399	0
1778031902	XAUUSD	M15	4626.18	4518.59282	4596.05595	4755.40355	4792.76972																				4627.29537	4623.74968	0
1778032802	XAUUSD	M15	4633.69	4518.59282	4596.05595	4755.40355	4792.76972																				4630.85522	4627.30245	0
1778033702	XAUUSD	M15	4630.22	4518.59282	4596.05595	4755.40355	4792.76972																				4634.34565	4630.82405	0
1778034602	XAUUSD	M15	4635.01	4518.59282	4596.05595	4755.40355	4792.76972																				4637.80212	4634.31309	0
1778035502	XAUUSD	M15	4640.94	4518.59282	4596.05595	4755.40355	4792.76972																				4640.98602	4637.64955	0
1778036402	XAUUSD	M15	4647.89	4518.59282	4596.05595	4755.40355	4792.76972																				4643.61668	4640.63312	0
1778037302	XAUUSD	M15	4645.81	4518.59282	4596.05595	4755.40355	4792.76972																				4645.45610	4643.04461	0
